,date,iexId,isEnabled,name,symbol,type
7588,2018-09-18,14637,True,Teekay LNG Partners L.P. 9.00% Series A Cumulative Redeemable Perpetual Preferred Units representing limited partner interests,TGP-A,ps
7589,2018-09-18,14638,True,Teekay LNG Partners L.P. 8.50% Series B Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units representing limited partner interests,TGP-B,ps
7590,2018-09-18,6771,True,Transportadora de Gas del Sur SA TGS,TGS,cs
7591,2018-09-18,6772,True,Target Corporation,TGT,cs
7592,2018-09-18,6773,True,TG Therapeutics Inc.,TGTX,cs
7593,2018-09-18,6775,True,Tenet Healthcare Corporation,THC,cs
7594,2018-09-18,6776,True,iShares Inc MSCI Thailand,THD,et
7595,2018-09-18,6777,True,First Financial Corporation Indiana,THFF,cs
7596,2018-09-18,6778,True,Hanover Insurance Group Inc,THG,cs
7597,2018-09-18,6779,True,The Hanover Insurance Group Inc. 6.35% Subordinated Debentures due 2053,THGA,N/A
7598,2018-09-18,6783,True,International Tower Hill Mines Ltd. (Canada),THM,cs
7599,2018-09-18,6784,True,Thor Industries Inc.,THO,cs
7600,2018-09-18,8889,True,Tekla Healthcare Opportunies Fund Shares of Beneficial Interest,THQ,cs
7601,2018-09-18,6786,True,Thermon Group Holdings Inc.,THR,cs
7602,2018-09-18,6789,True,Gentherm Inc,THRM,cs
7603,2018-09-18,6791,True,Treehouse Foods Inc.,THS,cs
7604,2018-09-18,6792,True,Truett-Hurst Inc.,THST,cs
7605,2018-09-18,10026,True,Tekla World Healthcare Fund Shares of Beneficial Interest,THW,cs
7606,2018-09-18,6794,True,Telecom Italia S.P.A. New,TI,cs
7607,2018-09-18,6795,True,Telecom Italia S.P.A. New,TI.A,cs
7608,2018-09-18,14351,True,Tiberius Acquisition Corporation,TIBR,cs
7609,2018-09-18,14181,True,Tiberius Acquisition Corporation Units,TIBRU,su
7610,2018-09-18,14430,True,Tiberius Acquisition Corporation Warrant,TIBRW,N/A
7611,2018-09-18,10333,True,TIER REIT Inc.,TIER,cs
7612,2018-09-18,6798,True,Tiffany & Co.,TIF,cs
7613,2018-09-18,6800,True,Tel-Instrument Electronics Corp.,TIK,cs
7614,2018-09-18,6801,True,Interface Inc.,TILE,cs
7615,2018-09-18,6802,True,FlexShares Mornigstar US Market Factors Tilt Index Fund,TILT,et
7616,2018-09-18,6804,True,iShares TIPS Bond,TIP,et
7617,2018-09-18,7740,True,Tiptree Inc.,TIPT,cs
7618,2018-09-18,6805,True,SPDR Bloomberg Barclays 1-10 Year TIPS,TIPX,N/A
7619,2018-09-18,6806,True,PIMCO Broad U.S. TIPS Index Exchange-Traded Fund,TIPZ,et
7620,2018-09-18,6807,True,Orchids Paper Products Company,TIS,cs
7621,2018-09-18,6808,True,Top Image Systems Ltd.,TISA,cs
7622,2018-09-18,6809,True,Team Inc.,TISI,cs
7623,2018-09-18,6810,True,Titan Machinery Inc.,TITN,cs
7624,2018-09-18,11805,True,TiVo Corporation,TIVO,cs
7625,2018-09-18,6812,True,TJX Companies Inc. (The),TJX,cs
7626,2018-09-18,6813,True,Teekay Corporation,TK,cs
7627,2018-09-18,12500,True,Takung Art Co. Ltd.,TKAT,cs
7628,2018-09-18,6814,True,Turkcell Iletisim Hizmetleri AS,TKC,cs
7629,2018-09-18,15004,True,TKK Symphony Acquisition Corporation,TKKS,N/A
7630,2018-09-18,15005,True,TKK Symphony Acquisition Corporation Right,TKKSR,N/A
7631,2018-09-18,14881,True,TKK Symphony Acquisition Corporation Unit,TKKSU,su
7632,2018-09-18,15015,True,TKK Symphony Acquisition Corporation Warrant,TKKSW,N/A
7633,2018-09-18,6817,True,Timken Company (The),TKR,cs
7634,2018-09-18,10831,True,FlexShares Currency Hedged Morningstar DM ex-US Factor Tilt Index Fund,TLDH,N/A
7635,2018-09-18,10832,True,FlexShares Currency Hedged Morningstar EM Factor Tilt Index Fund,TLEH,N/A
7636,2018-09-18,6819,True,Tandy Leather Factory Inc.,TLF,cs
7637,2018-09-18,3454,True,Teligent Inc.,TLGT,cs
7638,2018-09-18,6820,True,iShares 10-20 Year Treasury Bond,TLH,et
7639,2018-09-18,6821,True,Western Asset Corporate Loan Fund Inc,TLI,cs
7640,2018-09-18,6822,True,PT Telekomunikasi Indonesia Tbk,TLK,cs
7641,2018-09-18,11667,True,Talend S.A.,TLND,cs
7642,2018-09-18,6827,True,TransMontaigne Partners L.P. Transmontaigne Partners L.P. representing limited partner interests,TLP,cs
7643,2018-09-18,6893,True,Telaria Inc.,TLRA,cs
7644,2018-09-18,11030,True,Tailored Brands Inc.,TLRD,cs
7645,2018-09-18,14759,True,Tilray Inc.,TLRY,cs
7646,2018-09-18,6829,True,iShares 20+ Year Treasury Bond ETF,TLT,et
7647,2018-09-18,6830,True,FlexShares Morningstar Developed Markets ex-US Factor Tilt Index Fund,TLTD,et
7648,2018-09-18,6831,True,FlexShares Morningstar Emerging Markets Factor Tilt Index Fund,TLTE,et
7649,2018-09-18,6832,True,Tilly's Inc.,TLYS,cs
7650,2018-09-18,6833,True,Toyota Motor Corporation,TM,cs
7651,2018-09-18,14688,True,Trinity Merger Corp.,TMCX,cs
7652,2018-09-18,14437,True,Trinity Merger Corp. Unit,TMCXU,su
7653,2018-09-18,14689,True,Trinity Merger Corp. Warrant,TMCXW,N/A
7654,2018-09-18,14782,True,Titan Medical Inc.,TMDI,cs
7655,2018-09-18,6834,True,Direxion Daily 20-Yr Treasury Bull 3x Shrs,TMF,et
7656,2018-09-18,14089,True,Motley Fool 100 Index ETF,TMFC,N/A
7657,2018-09-18,6836,True,Taylor Morrison Home Corporation Class A,TMHC,cs
7658,2018-09-18,6837,True,Torchmark Corporation,TMK,cs
7659,2018-09-18,11201,True,,TMK-C,N/A
7660,2018-09-18,6840,True,Thermo Fisher Scientific Inc,TMO,cs
7661,2018-09-18,6841,True,Tompkins Financial Corporation,TMP,cs
7662,2018-09-18,4734,True,Trilogy Metals Inc.,TMQ,cs
7663,2018-09-18,10499,True,TMSR Holding Company Limited,TMSR,cs
7664,2018-09-18,8853,True,TimkenSteel Corporation,TMST,cs
7665,2018-09-18,6843,True,T-Mobile US Inc.,TMUS,cs
7666,2018-09-18,6844,True,Direxion Daily 20-Year Treasury Bear 3X,TMV,et
7667,2018-09-18,6845,True,Direxion Small Cap Bull 3X Shares,TNA,et
7668,2018-09-18,6846,True,Telenav Inc.,TNAV,cs
7669,2018-09-18,6847,True,Tennant Company,TNC,cs
7670,2018-09-18,7980,True,Tandem Diabetes Care Inc.,TNDM,cs
7671,2018-09-18,8467,True,TriNet Group Inc.,TNET,cs
7672,2018-09-18,6851,True,Teekay Tankers Ltd.,TNK,cs
7673,2018-09-18,6852,True,Tsakos Energy Navigation Ltd,TNP,cs
7674,2018-09-18,14639,True,Tsakos Energy Navigation Ltd Red Perp Pfd Ser B% (Bermuda),TNP-B,ps
